No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram,,
402,@kntl0_0,"""Perlahan karirmu ancur bro dan lu akan kembali kebawan""",Bullying,2 Juni 2020,@eeericko,,
403,@kristin26_,"""Biarkan @sk69official bangkrut aja. CEO nya gatau trimakasih haha""",Bullying,2 Juni 2020,@eeericko,,
404,@dadidawww__,"""ngapain juga nginap di rumah cowo, gaada keluarga lg lo?""",Bullying,2 Juni 2020,@eeericko,,
405,@dhifi_3,"""Eh ada pelakor, pas banget frame ke tiga, orang ke 3""",Bullying,2 Juni 2020,@eeericko,,
406,@xdebyy23,"""Anak gblk dikasi berlian malah milih kerikil""",Bullying,2 Juni 2020,@eeericko,,
407,@ldydna_,"""Dikasih bidadari malah milih dajjal awokawok:v""",Bullying,2 Juni 2020,@eeericko,,
408,@teamlistychan,"""Jangan cuman bisa ngehina Dong Sadar Kalian Itu Ga sempurna sama kaya kami""",Non-bullying,2 Juni 2020,@eeericko,,
409,@ndysan,"""Kesihan gue sama org otak dangkal kek gini""",Bullying,2 Juni 2020,@eeericko,,
410,@_nanellchaan,"""Murahh banget lo jijik gue …. Dikick EVOS mlah open BO""",Bullying,2 Juni 2020,@eeericko,,
411,@hfizdonjuan,"""senengnya sekali nyesel nya seumur hidup, miris banget hidup lu tolol meninggalkan berlian yang indah dipandang dan di sayang demi segumpal tai kucing""",Bullying,2 Juni 2020,@eeericko,,
412,@callmehanif_,"""Indahnya pemandangan banyak LonT lonT mau di jual""",Bullying,2 Juni 2020,@eeericko,,
413,@jeihanfatiya,"""bidadari sudah ditunjukan , bahwa mmg g pantes sma dajjal g tau diri""",Bullying,2 Juni 2020,@eeericko,,
414,@christimrbn._,"""siapapun tolong kasih tau aku ini masalah nya apaa gais""",Non-bullying,2 Juni 2020,@eeericko,,
415,@mylndll_,"""dikasih hati yg malaikat milih yg berhati iblis greget:(""",Bullying,2 Juni 2020,@eeericko,,
416,@hvo.id,"""Di kasih bidadari malah pilih kotoran""",Bullying,2 Juni 2020,@eeericko,,
417,@owengbrl,"""Dikasih bidadari malah minta lonte""",Bullying,2 Juni 2020,@eeericko,,
418,@apaaja3181,"""Gajadi beli Model murahan barang pasti murahan""",Bullying,2 Juni 2020,@eeericko,,
419,@idoyalam,"""Modelny aja murahan apalagi barangnya""",Bullying,2 Juni 2020,@eeericko,,
420,@enaknyaja,"""muka macem pengamen gegayaan selingkuh, untung udh ga sm jane lg, kebanting sm jane muke lu""",Bullying,2 Juni 2020,@eeericko,,
421,@pebriiidhyn,"""Males beli gua,gara gara ada lonte""",Bullying,2 Juni 2020,@eeericko,,
422,@aldiazz_mp,"""Padahal bulug gini ya mukanya.. ehh,, maaf..""",Bullying,2 Juni 2020,@eeericko,,
423,@zhrmldiaa_,"""Padahal cantikan jessica kemana mana""",Non-bullying,2 Juni 2020,@eeericko,,
424,@ashha._,"""Dikasih bidadari malah milih sampah""",Bullying,2 Juni 2020,@eeericko,,
425,@inxxzrbc,"""yaelah muka pas""an aja bangga lu njing""",Bullying,2 Juni 2020,@eeericko,,
426,@bubblecndyy,"""Wah ibarat lebih milih iblis daripada bidadari haha""",Bullying,2 Juni 2020,@eeericko,,
427,@ohh_alah,"""@rangga_kanahaya knp gk truck sampah, kek mukanya sampah""",Bullying,2 Juni 2020,@eeericko,,
428,@cep.juned,"""Gajadi beli, takut ketularan lonte nya""",Bullying,2 Juni 2020,@eeericko,,
429,@abigailfrnt,"""hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot , di hujat memang dunia sgt kejam""",Non-bullying,2 Juni 2020,@eeericko,,
430,@ken_prohd,"""Jangan beli baju lonte entar kena sial""",Bullying,2 Juni 2020,@eeericko,,
431,@kecoakgemoi._,"""Dasar cewe lo itu LONTE tau kau!""",Bullying,2 Juni 2020,@eeericko,,
432,@levinanj,"""Disini pada kenapa dah? Aku gapaham tolong""",Non-bullying,2 Juni 2020,@eeericko,,
433,@angelicaangel______,"""Itu ditengah manusia apa monyet kok kulitnya bercorak batik""",Bullying,2 Juni 2020,@eeericko,,
434,@aditmg04,"""Muka lu sama anjing gwe..lebih ganteng anjing gwe rik""",Bullying,2 Juni 2020,@eeericko,,
435,@fad_wolfie,"""Buat kalian para pens lonte jgn tkut listi Miskin krna dipecat, krna dia bsa kaya lgi, dgn cara ya nglonte""",Bullying,2 Juni 2020,@eeericko,,
436,@elirahma7,"""Etdah ninggalin yang baik demi lonte, situ waras mas wkwk""",Bullying,2 Juni 2020,@eeericko,,
437,@annafrrozen,"""Gw melihat cewek murahan di postingan ini""",Bullying,2 Juni 2020,@eeericko,,
438,@xrnggaty__27,"""yang kedua dari sebelah kanan itu batik apa orang dah? kok warna nya kek taek babi si?""",Bullying,2 Juni 2020,@eeericko,,
439,@rahmahakya,"""Ih ko muka jelek banget siii serem kek setan""",Bullying,2 Juni 2020,@eeericko,,
440,@dzlsmnaa,"""Itu yang foto ketiga jablay murahan bukan?""",Bullying,2 Juni 2020,@eeericko,,
441,@gadiiiiisssss,"""Jelek aja tukang selingkuh lo buriq !!!!""",Bullying,2 Juni 2020,@eeericko,,
442,@mvq024,"""Emang kalian se suci apa sampai nghina dia segitu nya""",Non-bullying,2 Juni 2020,@eeericko,,
443,@yudiansyah_anggara,"""Mending yang follow pada unfollow Udeh gausah ribet""",Non-bullying,2 Juni 2020,@eeericko,,
444,@ravi18dihan_,"""Dekil tatoan, mampus karir Lo hancurr pantek""",Bullying,2 Juni 2020,@eeericko,,
445,@hikmahauliasari_01,"""Udah ada berlian malah milih batu nisan""",Bullying,2 Juni 2020,@eeericko,,
446,@lilac_loversss,"""Alasan setan ama setan, KARNA KALO SETAN SAMA BIDADARI, SAYAPNYA RONTOK, DICEKER, DIGIGIT, DIJAMBAK2""",Bullying,2 Juni 2020,@eeericko,,
447,@viukorean,"""Lagian juga Erick gak ada akhlak jelek lagi Listy juga jelek""",Bullying,2 Juni 2020,@eeericko,,
448,@haeyraa_,"""Setan ma setan mahh emg cocokk udee""",Bullying,2 Juni 2020,@eeericko,,
449,@mochzakin,"""Lonte kurus pucet kek mayat hidup""",Bullying,2 Juni 2020,@eeericko,,
450,@maulna_adnan,"""Itu muka apa tutup panci wkwkekek jelek nya ampe ke ubun ubun""",Bullying,2 Juni 2020,@eeericko,,
451,@govinda_hutasoit,"""@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong""",Non-bullying,9 Agustus 2020,@eeericko,,
452,@rizkibryn_,"""bego anak orang udah ga perawan noh gara"" lu wkwkw""",Bullying,9 Agustus 2020,@eeericko,,
453,@renaldiode_93,"""Frustasi..Sudah habis uangnya..Kasihannn""",Bullying,9 Agustus 2020,@eeericko,,
454,@naufal.apta7,"""Bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras""",Non-bullying,9 Agustus 2020,@eeericko,,
455,@kiy12456,"""Semangat Rick untuk usaha barunya""",Non-bullying,9 Agustus 2020,@eeericko,,
456,@murtiani940,"""Hadehh muka kaya tong sampah .""",Bullying,9 Agustus 2020,@eeericko,,
457,@bengkulu__kocak,"""banyak banget omongan kasar disini, tobat lah kawan kawan.. cukup comment kasar nya""",Non-bullying,9 Agustus 2020,@eeericko,,
458,@joy81shop,"""Ni org jelek ga ada obat.kok jj mau liat apa ya..""",Bullying,9 Agustus 2020,@eeericko,,
459,@habibiwijaya_,"""Semangat bang, walaupun banyak orang yang ngejudge lu. Jangan peduliin mereka""",Non-bullying,9 Agustus 2020,@eeericko,,
460,@tinushanstats,"""Tuhan yesus baik semangat rick""",Non-bullying,9 Agustus 2020,@eeericko,,
461,@edwin.afr,"""Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)""",Non-bullying,9 Agustus 2020,@eeericko,,
462,@okkybray,"""Eh lo nyadar ga ? Udah dekil terus tatoan, jadi nya kaya daki haha""",Bullying,9 Agustus 2020,@eeericko,,
463,@aimdumb,"""jelek dapet selingkuhan jelek juga keren yaa imbang wkkw""",Bullying,9 Agustus 2020,@eeericko,,
464,@galangnusantaraputra,"""Wah ngehina fisik ni orang,ga bener ya wkwkwkwk""",Non-bullying,9 Agustus 2020,@eeericko,,
465,@anggariskyananda,"""BUNUH DIRI LAH SONO GOBLOX""",Bullying,9 Agustus 2020,@eeericko,,
466,@yayanmulyana__,"""Sabar semua komentar ini ujian""",Non-bullying,9 Agustus 2020,@eeericko,,
467,@andhikaprat_,"""Santai rick yg ngehujat lo belom tau perjalanan hidup lo aja! Mereka hanya sok suci!""",Non-bullying,9 Agustus 2020,@eeericko,,
468,@real_sya9818,"""Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank""",Non-bullying,9 Agustus 2020,@eeericko,,
469,@kennjiii_077,"""Erick masuk neraka jalur selingkuh bos""",Bullying,9 Agustus 2020,@eeericko,,
470,@plugstamp,"""Trs berkarya walaupun brd di titik sprti ini""",Non-bullying,9 Agustus 2020,@eeericko,,
471,@dfaayzaqp,"""Stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada""",Non-bullying,9 Agustus 2020,@eeericko,,
472,@dztaaaaa_,"""Yang ngatain keknya idupnya gapernag bikin kesalahan""",Non-bullying,9 Agustus 2020,@eeericko,,
473,@jenio_rh,"""Jadi gila kau rupanya karna gak laku lagi di YouTube""",Bullying,13 Januari 2021,@eeericko,,
474,@mantap2560,"""Kasian yah sdh stress banyak masalah""",Bullying,13 Januari 2021,@eeericko,,
475,@fjrnstyawan_,"""Kok jatohnya malah kek ajg sih rikkk""",Bullying,13 Januari 2021,@eeericko,,
476,@wiliamsiant,"""Karir turun jadi autis kasian hahah""",Bullying,13 Januari 2021,@eeericko,,
477,@o_em_ji,"""erick yang kek gini yang gua kangenin, keep it up bruuh""",Non-bullying,13 Januari 2021,@eeericko,,
478,@arikinanta96,"""Udah mau autis iya bg awokawkk""",Bullying,13 Januari 2021,@eeericko,,
479,@egioktvwn,"""Kasian masih muda udah stresss""",Bullying,13 Januari 2021,@eeericko,,
480,@ardinn.__,"""Banyak komen yg support malah ketutup yg hate bgst emang IG""",Non-bullying,13 Januari 2021,@eeericko,,
481,@aini.eni.142892,"""Maudy cantik na natural bnr2 cantik bgt, cantik luar dlm""",Non-bullying,21 Maret 2021,@maudyayunda,,
482,@imnotravi,"""Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.""",Non-bullying,21 Maret 2021,@maudyayunda,,
483,@riskarmdhni,"""Aura org pinter emg shining ya bun @hy_dindut""",Non-bullying,21 Maret 2021,@maudyayunda,,
484,@gracepala04,"""Paket lengkap deh.. udh cantik pintar lagi""",Non-bullying,21 Maret 2021,@maudyayunda,,
485,@kasih_sliver87,"""Sukaa bnget sm artis ini… nggak neko2.. dan natural bngett""",Non-bullying,21 Maret 2021,@maudyayunda,,
486,@rir8558,"""Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy""",Non-bullying,21 Maret 2021,@maudyayunda,,
487,@melonktheyalni,"""Idih mak lampir, dibanding uya ma lu, lu bagaikan butiran debu,, lu dikenal karena bacot… rajin2 ngaca deh""",Bullying,1 Juni 2021,@dennisechariesta,,
488,@story_quots_,"""Anjirlah muka lo kek kuntilanak malah sok cantik""",Bullying,1 Juni 2021,@dennisechariesta,,
489,@aqxa_nadya,"""Mbak cadel yg bangga dengan cadelnya,, Harusnya sih kasihan karna cadel tapi lama"" jadi jijik kenapa gak sekalian bisu aja""",Bullying,1 Juni 2021,@dennisechariesta,,
490,@lailmfdh,"""Uda pinter, cantik gak kebanyakan tingkah. Perfect""",Non-bullying,22 Maret 2021,@maudyayunda,,
491,@rullyans_ighoney,"""Hati-hati mody jangan keluar sendirian jaga-jaga serangan brutal rasisme, wajahmu sekilas mirip onnie2 korea. Tetap waspada""",Non-bullying,22 Maret 2021,@maudyayunda,,
492,@urbbnaya,"""Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda""",Non-bullying,22 Maret 2021,@maudyayunda,,
493,@breath_ice2,"""Motivasi ku ka Maudy cantipp bngt""",Non-bullying,22 Maret 2021,@maudyayunda,,
494,@dwisetyaakns24af,"""Semoga kecerdasan Mbak Maudy bermanfaat bagi agama, nusa, dan bangsa.. Aamiin""",Non-bullying,22 Maret 2021,@maudyayunda,,
495,@ahmadnfsv,"""Damage nya cewek pinter gada lawann""",Non-bullying,22 Maret 2021,@maudyayunda,,
496,@ru_kiiaah98,"""cantikan waktu berisi dulu… sekarang kurus bgt, kurus begini auranya kurang""",Bullying,19 Desember 2020,@isyanasarasvati,,
497,@pptsptyn,"""cantik sih, tapi sayang kurus ya. padahl udh nikah lo, kurang bahagia sama pernikahannya?""",Bullying,19 Desember 2020,@isyanasarasvati,,
498,@drchristlesman,"""masih good vibes walaupun sedang lapar""",Non-bullying,2 April 2021,@maudyayunda,,
499,@ekaacahyaaa,"""kakak cantik bgt bismillah cerdasnya nular""",Non-bullying,2 April 2021,@maudyayunda,,
500,@riyan_w_p,"""Bego lu. Alam semesta dan seisinya pun serentak murka mendengarkan lagumu""",Bullying,2 Juni 2021,@denisechariesta,,
501,@melly_goeslaw,"""Dua2 nya cantik banget masya Allah""",Non-bullying,5 April 2021,@maudyayunda,,
502,@ykzlk_sk,"""ka nisa mirip ariana grande masa""",Non-bullying,5 April 2021,@maudyayunda,,
503,@musaasep_,"""Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha""",Non-bullying,5 April 2021,@maudyayunda,,
504,@iswindarty_cici,"""Sekilas yg abu mirip ariana grande haha""",Non-bullying,5 April 2021,@maudyayunda,,
505,@wenddyfanny19,"""Yang satu nya mirip Ariana grande""",Non-bullying,5 April 2021,@maudyayunda,,
506,@sla_metwidodo1111,"""Kakak sama adek sama sama cantik ya aku suka sama dua duanya""",Non-bullying,5 April 2021,@maudyayunda,,
507,@nakhanadia12,"""Rambutnya kak modd bagussss… Item berkilauu""",Non-bullying,5 April 2021,@maudyayunda,,
508,@itsme_lila25,"""Cantik semua congrats kak msuk nominsi tc candler""",Non-bullying,5 April 2021,@maudyayunda,,
509,@chrysputami,"""Maudy enak bet dah cantik iya pinter iya""",Non-bullying,5 April 2021,@maudyayunda,,
510,@kendaknyolah,"""kukira dedeknya berdiri itu mau mukul bang jer pake ukulele… ternyata aku salah salah :""""",Non-bullying,27 Februari 2021,@jeromepolin,,
511,@oneuldo_orenji12,"""Bang jerome KLO nyanyiny kek gini bagus suaranya ganyangkaaa""",Non-bullying,27 Februari 2021,@jeromepolin,,
512,@weirdlifes_,"""Sutan kamu sangat lucu dan menggemaskan""",Non-bullying,27 Februari 2021,@jeromepolin,,
513,@misnasari26,"""Bang sering-sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom""",Non-bullying,27 Februari 2021,@jeromepolin,,
514,@cutmustikadela,"""Klu @jeromepoline buat video tapi berdua aja seharian sama anak kecil, hahah lucu juga gimana riwehnya""",Non-bullying,27 Februari 2021,@jeromepolin,,
515,@aldy_rhmd_,"""Muka lu kok cabul banget sih bg hahah""",Bullying,26 April 2021,@eeericko,,
516,@donialviansaputraaa,"""Dari raut mukanya aja udh terlihat seperti org kalah judi dan tidak pernah makan enak""",Bullying,26 April 2021,@eeericko,,
517,@nurus_sobah_99,"""Kak jerome kayak boneka tau hahah""",Non-bullying,17 Februari 2021,@jeromepolin,,
518,@gxjrx,"""Mukbang makanan sehat dong kak. Salad jepang gituuu.""",Non-bullying,17 Februari 2021,@jeromepolin,,
519,@itsme_inr,"""Yakinin dulu niatnya bg… Semoga sukses""",Non-bullying,17 Februari 2021,@jeromepolin,,
520,@nikenwidd_,"""Bang, aku nonton kamu setelah aku kerja di Jepang. Bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di Jepang""",Non-bullying,17 Februari 2021,@jeromepolin,,
521,@olla.azizah,"""Cuman rumus diet ini yg ga bisa dipecahka ya bang?""",Non-bullying,17 Februari 2021,@jeromepolin,,
522,@can_kenzie_can,"""Perut makin maju tpi semangat jangan tak maju""",Non-bullying,17 Februari 2021,@jeromepolin,,
523,@depi1310,"""Pantesan kak Jessica bilang bang jerom beruang wkwkwk""",Non-bullying,17 Februari 2021,@jeromepolin,,
524,@lionessariexkunthi,"""Aduhh susah klo urusan sma Jerome rumus matematika terus bahasannya… Apakah daya diriku yg lebih suka bhs Inggris drpd matematika""",Non-bullying,7 Maret 2021,@jeromepolin,,
525,@belumadajudullagi,"""Kaya tulus ya mukanya klo diliat2""",Non-bullying,7 Maret 2021,@jeromepolin,,
526,@_silnora05,"""Kak Jerome, bagi trik biar bisa paham dan ingat cepat rumus matematika, dung:)""",Non-bullying,7 Maret 2021,@jeromepolin,,
527,@wen_margareth,"""Baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha""",Non-bullying,7 Maret 2021,@jeromepolin,,
528,@ayomindan_15,"""Sumpah si kak, kemeja jeans bikin keliatan seger bgt mantap mantap""",Non-bullying,15 Maret 2021,@jeromepolin,,
529,@ini.ataaaa,"""Mirip ama aktor korea yg main di film reply 1988 yg jadi kaka nya jung hwan wkwk""",Non-bullying,15 Maret 2021,@jeromepolin,,
530,@michael.saputra2006,"""iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul""",Non-bullying,15 Maret 2021,@jeromepolin,,
531,@be_l.aa,"""Klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur""",Non-bullying,15 Maret 2021,@jeromepolin,,
532,@riskyapp,"""Kok makin dewasa makin imutt aih cipaaaaaa""",Non-bullying,6 Mei 2020,@syifahadjureal,,
533,@ryaamelliaa,"""maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa""",Non-bullying,6 Mei 2020,@syifahadjureal,,
534,@windasarimulyadi,"""Nih orang manis bnget sihh ga ngerti lagi""",Non-bullying,6 Mei 2020,@syifahadjureal,,
535,@isacgibran,"""Kakak pinter nyanyi ya @syifahadjureal, suaranya bagus kak""",Non-bullying,6 Mei 2020,@syifahadjureal,,
536,@ichafiii,"""Gk salah kalo kak syifa cantik mamahnya aja cantik bgtt!! Jujurr""",Non-bullying,24 Mei 2020,@syifahadjureal,,
537,@erdizairaputri,"""Lelaki yg mendapatkan km. Adalah lelaki yg beruntung.""",Non-bullying,24 Mei 2020,@syifahadjureal,,
538,@raffajiah,"""Kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu""",Non-bullying,24 Mei 2020,@syifahadjureal,,
539,@rahmaaaaliaaaaa,"""Kakak udah cantik sii, tapi cantikan lagi kalo pake hijab""",Non-bullying,24 Mei 2020,@syifahadjureal,,
540,@anisaanis62,"""Gemeshh rasanya kaya aku pengen cubit""",Non-bullying,9 Juni 2020,@syifahadjureal,,
541,@elizabethkezia4u,"""@angelkmgi ini paling cute sih, ganteng parah msh kecil jg""",Non-bullying,9 Juni 2020,@syifahadjureal,,
542,@frdaanii24_,"""Pengen gw pacul mulut lo!! woii anjeng busuk""",Bullying,3 Maret 2021,@lutiagizal,,
543,@salsabilangin,"""Sering blg ke org2 artis cewek yg menurutku paling cantik syifa sama ziu""",Non-bullying,10 Juni 2020,@syifahadjureal,,
544,@kylagluh,"""Ka cipa tu uda cantik, baik, manis bgt pula, manisnya tu nglebihin gula""",Non-bullying,10 Juni 2020,@syifahadjureal,,
545,@patmisrisupatmi501,"""Dilihat sekilas pun tampak jelas kalau cantikkan syifa""",Non-bullying,10 Juni 2020,@syifahadjureal,,
546,@ike_wulandari01,"""Setuju g sih? Si dia tetep cntik bgt meski g pke make up… lah aku g pke make up pucet bgt kyk g makan setahunn""",Non-bullying,17 Juni 2020,@syifahadjureal,,
547,@_biiibill,"""dahlahh emang cantik luar dalam kmu ini cippp""",Non-bullying,17 Juni 2020,@syifahadjureal,,
548,@masanggaofficial,"""Muka cantik tanpa make up hini, bahagia bgt kali ya yg jadi suaminya, bisa liat bidadari setiap harinya.""",Non-bullying,17 Juni 2020,@syifahadjureal,,
549,@fettyfuriyanireal96,"""Suka bgtt sm kak cipaa.. orangnya humble sm semua orang dan banyak temannya juga""",Non-bullying,17 Juni 2020,@syifahadjureal,,
550,@itsme.imel__,"""Artis remaja di Indonesia yg manis bgt kalo senyum Cuma dia deh perasaan yg nempel di hati""",Non-bullying,17 Juni 2020,@syifahadjureal,,
551,@dhivirandini,"""Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia..""",Non-bullying,31 Mei 2021,@raffinagita1717,,
552,@yuki_takesy,"""Rafathar nya mantull ni, pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg.. jd jagain dan temenin mama dulu  ya aa""",Non-bullying,31 Mei 2021,@raffinagita1717,,
553,@hypelook.store,"""kultur kerja kaya gini menurut gw bagus si ga kapitalis banget, petingginya juga ikut kerja misal ngevlog atau endors, semoga gaji juga ga senjang si haha""",Non-bullying,31 Mei 2021,@raffinagita1717,,
554,@mawarmelati6,"""Pantas pada senang kerja di Rans.. mbak gigi nggak ngebossy..""",Non-bullying,31 Mei 2021,@raffinagita1717,,
555,@um_ummah7,"""Seneng yaa lihat orang sukses meeting. Ya Allah pengen sukses kayak gitu biar ada status di instastory""",Non-bullying,31 Mei 2021,@raffinagita1717,,
556,@etikawatianiek,"""smga semua kelg dan crew sehat semua.. dan rejeki trs lancar ya kak gigi..""",Non-bullying,31 Mei 2021,@raffinagita1717,,
557,@kadospesialmu.id,"""Fokus ke nagita pas mau minum masih sempet baca doa. keren bgt hasil dari didikan orang tua nya""",Non-bullying,31 Mei 2021,@raffinagita1717,,
558,@ciky_yy,"""Kasihan ya , Nagita punya suami kerjaannya berzinah terus""",Bullying,31 Mei 2021,@raffinagita1717,,
559,@pipin_sumarini,"""Koreaable banget face rafathar cakep ganteng manis banget""",Non-bullying,31 Mei 2021,@raffinagita1717,,
560,@sumiyati_yudi2,"""MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny…""",Non-bullying,31 Mei 2021,@raffinagita1717,,
561,@ulfanadz,"""Kok mirip siwon ya lama2, apa perasaan gw aja.""",Non-bullying,31 Mei 2021,@raffinagita1717,,
562,@inaciac7,"""Lucunya berasa kayak kaka dan adek""",Non-bullying,29 Mei 2021,@raffinagita1717,,
563,@medianatambunan,"""Itu wajah nagita kya masih umur 20an""",Non-bullying,29 Mei 2021,@raffinagita1717,,
564,@anita_sari1892,"""Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu""",Non-bullying,29 Mei 2021,@raffinagita1717,,
565,@riostryn,"""Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA.""",Non-bullying,29 Mei 2021,@raffinagita1717,,
566,@mraldiani,"""Nagita masa kaya anak muda coba cantikk bangeett""",Non-bullying,29 Mei 2021,@raffinagita1717,,
567,@aprillia_raffa,"""Masyaallah mamany cantik anakny ganteng, perfect""",Non-bullying,29 Mei 2021,@raffinagita1717,,
568,@azizah_rahman10,"""Kaya adek kakak.. kak gigi keliatan muda banget""",Non-bullying,29 Mei 2021,@raffinagita1717,,
569,@andra_jnsyah_14,"""Tambah gede aja rafathar ya tambah pinter ya Rafathar""",Non-bullying,29 Mei 2021,@raffinagita1717,,
570,@dewitatarias,"""Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda""",Non-bullying,29 Mei 2021,@raffinagita1717,,
571,@ikakadamayanti,"""OOTD mama gigi simple tapi elegan dilihat nya, masyaallah""",Non-bullying,31 Mei 2021,@raffinagita1717,,
572,@rainbowkidshop_,"""Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga""",Non-bullying,31 Mei 2021,@raffinagita1717,,
573,@amaliapuspitasari20,"""mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.""",Non-bullying,31 Mei 2021,@raffinagita1717,,
574,@nurainiikazulianaa,"""Ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep""",Non-bullying,31 Mei 2021,@raffinagita1717,,
575,@limcu_n,"""i see beauty in everything mba gigi sehat selalu sama dede bayi nya""",Non-bullying,31 Mei 2021,@raffinagita1717,,
576,@ens_gege,"""Mama gigi cantik banget… look younger than her age.. love mama gigi""",Non-bullying,31 Mei 2021,@raffinagita1717,,
577,@deni_riski,"""Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas""",Non-bullying,31 Mei 2021,@raffinagita1717,,
578,@desysr,"""Pakaian apapun yg dipake mama gigi selalu keceee""",Non-bullying,31 Mei 2021,@raffinagita1717,,
579,@balizoo,"""Terima kasih kak Nagita @raffinagita1717 sudah support Molly si gajah dan satwa-satwa di Bali Zoo lainnya dengan kunjungannya bersama keluarga""",Non-bullying,31 Mei 2021,@raffinagita1717,,
580,@titiwinarni91,"""Kaya ny gajahnya merasakan aura positif nya mb gigi itu… kelihatan sumringah jg gajahnya loo..""",Non-bullying,31 Mei 2021,@raffinagita1717,,
581,@ratna_wahyuningrum28,"""Manis banget mbak gigi.. Masya Allah.. hamil semakin bersinar..""",Non-bullying,31 Mei 2021,@raffinagita1717,,
582,@dedehfp,"""Mama gigi gapernah ga cantik sih kalo menurut aku.""",Non-bullying,31 Mei 2021,@raffinagita1717,,
583,@muhammadmarselnur,"""Semoga sehat selalu bayi dalam kandungan nya sama ibunya ya.""",Non-bullying,31 Mei 2021,@raffinagita1717,,
584,@novaaa_nmc,"""Cantik banget semoga sehat selalu kakak panutan""",Non-bullying,9 Mei 2021,@raisa6690,,
585,@silvahumairasadeli,"""MasyaAllah selalu mempesona baik kaum adam maupun kaum hawa""",Non-bullying,9 Mei 2021,@raisa6690,,
586,@dwiwarochmah,"""Gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya""",Non-bullying,9 Mei 2021,@raisa6690,,
587,@malikah_06,"""makin tua makin muda yehh mukanya, mana cantik bngett mo nangiss ampun cantik terus ka yaya""",Non-bullying,9 Mei 2021,@raisa6690,,
588,@dwihadianti,"""Gapaham lagi cakeup nya natural Masyaallah""",Non-bullying,9 Mei 2021,@raisa6690,,
589,@kroniktron,"""Raisa mah tipe cantik tapi sopan santun pakaiannya""",Non-bullying,9 Mei 2021,@raisa6690,,
590,@rifdaahdr,"""ka yayaaa, why are you always stunning pretty girl.""",Non-bullying,9 Mei 2021,@raisa6690,,
591,@donnnaaaa____,"""Ya Allah ni orang apa peri, cantik amatt""",Non-bullying,30 April 2021,@raisa6690,,
592,@novidianprismaw,"""Kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik""",Non-bullying,30 April 2021,@raisa6690,,
593,@audreyjizlia,"""BISA BERHENTI CAKEP GA KAKK? PUSINGGGG IH""",Non-bullying,30 April 2021,@raisa6690,,
594,@aqidahhasrida,"""Cantik bajunya keren warnanya bikin pangling""",Non-bullying,30 April 2021,@raisa6690,,
595,@tracytrinita,"""Sudah dongggg dan sudah di liked juga.. congratulations""",Non-bullying,10 April 2021,@raisa6690,,
596,@hestipurwadinata,"""Udaaaahh nontonnnnn.. lagunya bajunya makeup dan hairdo nyaaa sukaakkkk""",Non-bullying,10 April 2021,@raisa6690,,
597,@rzl_40,"""Raisa sekarang ngak monoton…. Jadi suka deh…. Sering2 kek gini….""",Non-bullying,10 April 2021,@raisa6690,,
598,@anazd_k,"""udah dong. Lagi ngunyah aja cute banget""",Non-bullying,10 April 2021,@raisa6690,,
599,@xmxexgxaxr,"""Penyihir secantik ini gue rela dikutuk jadi tokek laut""",Non-bullying,10 April 2021,@raisa6690,,
